Site_ID,Technology,Vendor,Region,RRC_Success_Rate,ERAB_Drop_Rate,DL_Throughput,UL_Throughput,PRB_Utilization_DL,PRB_Utilization_UL,RSRP_Avg,RSRQ_Avg,SINR_Avg,CQI_Avg,Critical_Alarms_Count,Major_Alarms_Count,VSWR_Alarm,GPS_Sync_Alarm,Transmission_Alarm,CPU_Utilization,Memory_Usage,DL_User_Count,UL_User_Count,Cell_Health
SITE_0,4G,Nokia,Chennai,94.04100747,4.049300937,118.1806239,13.12258761,70.27790061,68.07190841,-84.75913253,-5.454988801,12.13964112,12.45641296,1,7,1,0,1,88.14444857,38.44282922,93,246,0
SITE_1,3G,Huawei,Chennai,92.99765572,4.736976248,49.02547103,43.44832936,46.21357457,7.678608662,-109.5473595,-10.97818177,21.68998895,9.97195791,3,8,1,1,0,62.52302643,81.98198676,245,115,0
SITE_2,5G,Ericsson,UPE,92.0084749,1.686700705,50.19502513,9.066792985,36.82061715,15.33644704,-62.22650195,-15.66104862,24.16821686,5.345573334,1,8,0,0,1,78.87042043,19.452444,270,184,0
SITE_3,5G,Nokia,Delhi,78.98330531,3.62490585,5.455431377,21.34112204,66.29302544,58.81223575,-109.4652133,-8.514050914,7.180943712,10.18555611,3,2,0,1,1,10.31030006,34.85348047,227,27,0
SITE_4,4G,Huawei,UPE,75.20440223,2.694065045,30.26529324,1.702214387,23.93718167,81.41703853,-109.3465248,-10.77621731,26.22535209,3.946464468,3,4,1,1,1,86.55005763,72.27364892,240,103,0
SITE_5,4G,Ericsson,UPW,89.12659793,0.30314463,131.9338156,24.4384386,43.5699852,58.01821672,-65.08997172,-16.03824132,11.46656619,5.455569962,3,5,0,0,1,22.00325602,53.45687897,157,41,0
SITE_6,4G,Huawei,Mumbai,84.88499152,3.449998687,69.05324129,2.03003423,28.81333336,16.39211602,-92.08767401,-10.24832641,13.47325772,4.360975144,2,5,0,0,1,28.08683846,76.58665125,61,111,0
SITE_7,3G,Nokia,UPW,75.34757401,3.450482791,147.7140024,41.1608681,72.62154702,14.83960393,-116.2087032,-6.033895176,29.98976732,8.796951433,1,9,0,0,1,9.799706139,18.92763144,116,45,0
SITE_8,5G,Ericsson,Chennai,90.57733813,4.653034024,62.37765472,41.41783461,94.97879545,76.75580115,-84.10875,-19.5142944,24.51560382,2.515173055,1,7,1,1,0,91.88601053,83.64433371,19,233,0
SITE_9,5G,Huawei,UPE,99.73379295,2.486562231,108.7020359,39.59936723,99.59598712,16.84069879,-83.89041908,-9.275532343,7.661950202,14.06634532,0,5,0,0,0,81.68097645,84.79294356,273,61,0
SITE_10,4G,Ericsson,UPE,92.41658763,1.151254604,45.87826122,14.88483938,50.52491294,49.21971664,-116.1299545,-14.05705167,-4.637904123,5.669172951,2,5,0,0,0,87.18661437,22.42504161,118,101,0
SITE_11,3G,Huawei,UPE,92.1995916,0.222819117,57.75239797,42.02462369,32.72773507,8.154632197,-61.64865026,-15.02458542,16.91609258,4.065581779,0,3,0,1,0,81.2494551,12.71003715,256,29,1
SITE_12,3G,Nokia,UPW,98.50938259,2.078210933,32.6552682,27.6069085,49.85464333,11.85693023,-87.35820208,-13.32600824,19.63696991,7.95169739,0,6,1,1,1,48.15774974,89.18731056,146,114,0
SITE_13,4G,Nokia,Chennai,76.08809103,1.5095835,55.32404343,19.31659733,86.2542469,62.14960275,-86.41225667,-14.18561471,17.77809416,4.877969458,3,7,0,0,1,88.16737407,48.58012738,118,41,1
SITE_14,4G,Ericsson,Mumbai,86.96649895,3.80544153,84.34944046,31.64116803,28.54051107,63.58041989,-88.79307513,-5.851935186,28.87518229,8.488657209,2,2,0,0,0,92.25255384,55.76603232,294,44,0
SITE_15,4G,Huawei,Mumbai,99.38940145,1.771338824,148.8070677,1.604711257,95.68860865,34.02489956,-83.35609322,-15.32843722,25.20398596,5.879128097,0,6,1,0,0,50.23102791,59.27237869,29,89,1
SITE_16,4G,Ericsson,UPW,74.95882333,4.745355982,101.3092484,8.005083002,40.76791919,23.32683005,-104.1420148,-7.536398607,10.70910926,2.848935351,1,2,0,1,0,20.80623032,73.17347702,259,50,0
SITE_17,5G,Ericsson,UPE,91.00755878,4.811551015,33.89066339,37.37238337,98.72232935,74.16537301,-102.7655191,-18.40098306,-2.799987938,4.722533388,0,7,0,1,0,64.27602581,74.95903752,272,192,0
SITE_18,4G,Huawei,Delhi,87.57430438,3.104542951,11.51940903,12.96391883,85.47479988,23.4537745,-89.31965461,-3.826261668,11.66205693,7.138157829,2,0,0,0,0,92.78944609,25.51401795,130,244,0
SITE_19,4G,Huawei,UPW,87.59437277,4.643301435,23.32168979,30.30244675,82.77134807,51.07230092,-71.59884871,-9.420617167,19.1235407,1.424105171,1,0,1,1,1,83.49321739,28.93093925,254,106,0
SITE_20,5G,Huawei,UPW,90.93011883,3.804271723,86.57050418,19.87002754,38.61142064,87.29775147,-117.0081254,-7.98578419,16.26984329,11.78899538,1,5,1,0,1,82.56336585,80.14664232,291,236,0
SITE_21,4G,Nokia,Chennai,97.88850769,2.734298205,115.9482477,42.88548316,10.78994908,17.56745722,-83.79574727,-14.93333135,13.83479737,9.705543904,1,9,0,0,0,89.04362151,75.56140838,57,102,0
SITE_22,4G,Ericsson,Mumbai,93.4774582,0.901539677,141.3607851,47.66834999,44.39196179,84.97448274,-71.59331145,-12.99435833,11.40866353,9.419034502,3,8,0,1,0,85.45570345,59.40955052,47,23,0
